TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.031901271,0.044378698,0.208955224,0.538807076,0.510999013,0.21114348,0.309312798,0.021864668,0.262765956
0.132310496,0.177514793,0.320895522,0.538807076,0.510999013,0.21114348,0.309312798,0.021864668,0.262765956
0.1219613,0.162721893,0.664179104,0.519539094,0.494283934,0.19510568,0.302859107,0.018705323,0.263008344
0.745250549,0.970414201,1,0.519737626,0.494250086,0.195321351,0.303184695,0.018741257,0.263233737
0.767947641,1,0.992537313,0.519902477,0.494206571,0.195504604,0.303458468,0.018771503,0.263419178
0.334670316,0.449704142,0.589552239,0.533379662,0.506837422,0.206131573,0.303898707,0.020863965,0.259042651
0.032561858,0.044378698,0.649253731,0.54787717,0.51939703,0.218218686,0.309606001,0.023347735,0.259574159
0.121080517,0.162721893,0.634328358,0.537154761,0.510303141,0.209189873,0.305014338,0.021484667,0.258866784
0.129668148,0.174556213,0.645522388,0.54787717,0.51939703,0.218218686,0.309606001,0.023347735,0.259574159
0.130989322,0.177514793,0.641791045,0.516379707,0.487900265,0.192584326,0.286709525,0.018135343,0.244509024
0.700195127,0.940828402,0.955223881,0.516841097,0.488176533,0.192995255,0.287273758,0.018208623,0.244935008
0.722214694,0.970414201,0.947761194,0.517243273,0.488412687,0.193355685,0.287765342,0.018272895,0.245303741
0.322339359,0.431952663,0.552238806,0.53052137,0.501347797,0.203922051,0.29248151,0.020338997,0.245837972
0.033883032,0.044378698,0.46641791,0.545947378,0.515529551,0.216691176,0.302368539,0.022956282,0.251056715
0.119979539,0.162721893,0.462686567,0.534302915,0.504966183,0.20697612,0.294534486,0.020954775,0.246765314
0.123722865,0.165680473,0.425373134,0.545947378,0.515529551,0.216691176,0.302368539,0.022956282,0.251056715
0.048415946,0.065088757,0.167910448,0.470860127,0.486763028,0.157067105,0.299466135,0.012219077,0.281126891
0.563673812,0.733727811,0.813432836,0.4716595,0.487652389,0.157631827,0.300746236,0.012306205,0.282365764
