TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0.015115888,0.015115888,0.455555556,0.27555904,0.3810331,0.3260178,0.2773204,0.28030968,0.30203754,0.31233948,0.3468618,0.3706136,0.3560368,0.38815755,0.18610258
0.106818945,0.106818945,0.462962963,0.27555904,0.3810331,0.3260178,0.2773204,0.28030968,0.30203754,0.31233948,0.3468618,0.3706136,0.3560368,0.38815755,0.18610258
0.543836077,0.543836077,0.633333333,0.2756142,0.38315913,0.32683113,0.27791977,0.2803833,0.30086863,0.3122059,0.34891668,0.37325975,0.3590972,0.39140365,0.18856421
0.533087,0.533087,0.625925926,0.2756142,0.38315913,0.32683113,0.27791977,0.2803833,0.30086863,0.3122059,0.34891668,0.37325975,0.3590972,0.39140365,0.18856421
0.530399731,0.530399731,0.585185185,0.2756142,0.38315913,0.32683113,0.27791977,0.2803833,0.30086863,0.3122059,0.34891668,0.37325975,0.3590972,0.39140365,0.18856421
0.195498824,0.195498824,0.388888889,0.24572833,0.2928143,0.24652389,0.23338655,0.23277773,0.24058081,0.2478535,0.2849584,0.30467173,0.2877421,0.3149103,0.14257483
0.18911656,0.18911656,0.314814815,0.24572833,0.2928143,0.24652389,0.23338655,0.23277773,0.24058081,0.2478535,0.2849584,0.30467173,0.2877421,0.3149103,0.14257483
0.189788378,0.189788378,0.466666667,0.24572833,0.2928143,0.24652389,0.23338655,0.23277773,0.24058081,0.2478535,0.2849584,0.30467173,0.2877421,0.3149103,0.14257483
0.04433994,0.04433994,0.281481481,0.24138035,0.29298154,0.24131401,0.22845967,0.22729771,0.23135741,0.2417303,0.28789136,0.31019035,0.29417405,0.32240993,0.14435004
0.043332214,0.043332214,0.396296296,0.24138035,0.29298154,0.24131401,0.22845967,0.22729771,0.23135741,0.2417303,0.28789136,0.31019035,0.29417405,0.32240993,0.14435004
0.042324488,0.042324488,0.425925926,0.24138035,0.29298154,0.24131401,0.22845967,0.22729771,0.23135741,0.2417303,0.28789136,0.31019035,0.29417405,0.32240993,0.14435004
0.161572052,0.161572052,0.540740741,0.24290457,0.2929229,0.24314037,0.23018683,0.22921878,0.23459075,0.24387684,0.28686318,0.30825573,0.2919193,0.3197809,0.14372772
0.159892509,0.159892509,0.562962963,0.24290457,0.2929229,0.24314037,0.23018683,0.22921878,0.23459075,0.24387684,0.28686318,0.30825573,0.2919193,0.3197809,0.14372772
0.161572052,0.161572052,0.57037037,0.24290457,0.2929229,0.24314037,0.23018683,0.22921878,0.23459075,0.24387684,0.28686318,0.30825573,0.2919193,0.3197809,0.14372772
0.146120255,0.146120255,0.562962963,0.24109493,0.2929925,0.24097203,0.22813627,0.226938,0.23075198,0.24132836,0.28808388,0.3105526,0.29459625,0.32290223,0.14446658
